Game_ID,Round,Team1,Team2,Team1_Win_Prob,Team2_Win_Prob,PickPct1,PickPct2,Recommended_Pick,Recommended_EV
1,1,Duke,Siena,0.9467654488007892,0.05323455119921083,0.0,0.0,Duke,9.467654488007891
2,1,Ohio St.,TCU,0.46053643975717523,0.5394635602428248,0.0,0.0,TCU,5.394635602428249
3,1,St. John's,Northern Iowa,0.656013441024793,0.343986558975207,0.0,0.0,St. John's,6.5601344102479295
4,1,Kansas,Cal Baptist,0.802558510468526,0.197441489531474,0.0,0.0,Kansas,8.025585104685259
5,1,Louisville,South Florida,0.628878643851228,0.37112135614877195,0.0,0.0,Louisville,6.288786438512281
6,1,Michigan St.,North Dakota St.,0.9142504658295625,0.08574953417043751,0.0,0.0,Michigan St.,9.142504658295625
7,1,UCLA,UCF,0.4823578985883017,0.5176421014116983,0.0,0.0,UCF,5.176421014116983
8,1,Connecticut,Furman,0.9089477128637334,0.09105228713626656,0.0,0.0,Connecticut,9.089477128637334
9,1,Arizona,LIU,0.9417541047587202,0.058245895241279766,0.0,0.0,Arizona,9.417541047587202
10,1,Villanova,Utah St.,0.3539440652249093,0.6460559347750907,0.0,0.0,Utah St.,6.460559347750907
11,1,Wisconsin,High Point,0.6627042288724455,0.3372957711275545,0.0,0.0,Wisconsin,6.627042288724455
12,1,Arkansas,Hawaii,0.8402215071917691,0.15977849280823087,0.0,0.0,Arkansas,8.402215071917691
13,1,BYU,Texas,0.36365097947786257,0.6363490205221374,0.0,0.0,Texas,6.363490205221374
14,1,Gonzaga,Kennesaw St.,0.9230850183820966,0.07691498161790344,0.0,0.0,Gonzaga,9.230850183820966
15,1,Miami FL,Missouri,0.5306895101235893,0.46931048987641066,0.0,0.0,Miami FL,5.306895101235893
16,1,Purdue,Queens,0.9189999935704106,0.08100000642958938,0.0,0.0,Purdue,9.189999935704106
17,1,Florida,Lehigh,0.9427229436248288,0.05727705637517122,0.0,0.0,Florida,9.427229436248288
18,1,Clemson,Iowa,0.35544517308797613,0.6445548269120238,0.0,0.0,Iowa,6.445548269120238
19,1,Vanderbilt,McNeese,0.7051107643795023,0.29488923562049774,0.0,0.0,Vanderbilt,7.051107643795023
20,1,Nebraska,Troy,0.9096582854664561,0.0903417145335439,0.0,0.0,Nebraska,9.096582854664561
21,1,North Carolina,VCU,0.49717429225036097,0.502825707749639,0.0,0.0,VCU,5.02825707749639
