Date,Team 1,Team 2,Score 1,Score 2
1/3/2026,Bowling Green,Massachusetts,101,100
1/3/2026,Akron,Miami OH,73,76
1/3/2026,Alabama St.,Mississippi Valley St.,89,69
1/3/2026,Florida,Missouri,74,76
1/3/2026,Northern Colorado,Montana,79,88
1/3/2026,Northern Arizona,Montana St.,68,77
1/3/2026,Virginia,N.C. State,76,61
1/3/2026,Kansas City,Nebraska Omaha,73,66
1/3/2026,Vermont,New Hampshire,80,61
1/3/2026,Wyoming,New Mexico,58,78
1/3/2026,East Texas A&M,Nicholls,58,80
1/3/2026,Florida Gulf Coast,North Alabama,72,55
1/3/2026,Norfolk St.,North Carolina Central,67,69
1/3/2026,South Dakota St.,North Dakota,87,90
1/3/2026,Oral Roberts,North Dakota St.,77,79
1/3/2026,Minnesota,Northwestern,84,78
1/3/2026,New Orleans,Northwestern St.,68,74
1/3/2026,Mississippi,Oklahoma,70,86
1/3/2026,Georgia Southern,Old Dominion,93,86
1/3/2026,Illinois,Penn St.,73,65
1/3/2026,Clemson,Pittsburgh,73,68
1/3/2026,USC Upstate,Presbyterian,77,86
1/3/2026,Bellarmine,Queens,76,98
1/3/2026,Memphis,Rice,76,70
1/3/2026,Davidson,Saint Joseph's,62,56
1/3/2026,Boise St.,San Diego St.,107,110
1/3/2026,Morehead St.,SIUE,73,72
1/3/2026,North Carolina,SMU,83,97
1/3/2026,Vanderbilt,South Carolina,83,71
1/3/2026,Howard,South Carolina St.,57,58
1/3/2026,Western Illinois,Southeast Missouri,50,73
1/3/2026,Stephen F. Austin,Southeastern Louisiana,73,63
1/3/2026,Texas Southern,Southern,73,84
1/3/2026,UT Arlington,Southern Utah,86,77
1/3/2026,Providence,St. John's,77,71
1/3/2026,North Carolina A&T,Stony Brook,80,81
1/3/2026,Cal Baptist,Tarleton St.,76,81
1/3/2026,Baylor,TCU,63,69
1/3/2026,UTSA,Temple,57,76
1/3/2026,Eastern Illinois,Tennessee Martin,61,65
1/3/2026,Mississippi St.,Texas,101,98
1/3/2026,LSU,Texas A&M,72,75
1/3/2026,Oklahoma St.,Texas Tech,80,102
1/3/2026,Wofford,The Citadel,95,86
1/3/2026,Monmouth,Towson,62,48
1/3/2026,South Alabama,Troy,49,59
1/3/2026,Cal St. Bakersfield,UC Davis,81,79
1/3/2026,Hawaii,UC San Diego,73,83
1/3/2026,Kansas,UCF,75,81
1/3/2026,Albany,UMass Lowell,71,83
1/3/2026,Samford,UNC Greensboro,82,89
1/3/2026,Hampton,UNC Wilmington,45,49
1/3/2026,Air Force,UNLV,39,67
1/3/2026,Texas A&M Corpus Chris,UT Rio Grande Valley,63,59
1/3/2026,Arizona,Utah,97,78
1/3/2026,San Jose St.,Utah St.,78,96
1/3/2026,Chattanooga,VMI,71,79
1/3/2026,Virginia Tech,Wake Forest,78,81
1/3/2026,Sacramento St.,Weber St.,82,95
1/3/2026,Eastern Kentucky,West Georgia,76,88
1/3/2026,Gardner Webb,Winthrop,77,88
1/3/2026,Purdue,Wisconsin,89,73
1/4/2026,Southern Illinois,Belmont,68,67
1/4/2026,Sacred Heart,Canisius,78,82
1/4/2026,New Haven,Central Connecticut,61,72
1/4/2026,LIU,Chicago St.,74,55
1/4/2026,Marquette,Connecticut,57,73
1/4/2026,Kennesaw St.,Delaware,52,67
1/4/2026,Indiana St.,Drake,72,74
1/4/2026,Northern Iowa,Evansville,62,48
1/4/2026,UTEP,FIU,64,76
1/4/2026,Richmond,Fordham,83,75
1/4/2026,Loyola Marymount,Gonzaga,47,82
1/4/2026,Washington,Indiana,80,90
1/4/2026,Wright St.,IU Indy,81,77
